Operation,Cost,Imputation,Region,Division,Sub-Division,Accounting Sta.,Locality,Management m.,,Vote holder
Achat de matériels bureautique et informatique(du Projet N° 2-30-02-223-383),60000,383400102260,,DIRECTION AFF GÉNERALES,DIRECTION AFF GÉNERALES,PAIERIE GENERALE,DIRECTION AFF GÉNERALES,,,Ministre
Achat de mobilier de bureau pour équipement des Services Centraux et Déconcentrés(du Projet N° 2-30-02-223-383),100000,383400102261,,DIRECTION AFF GÉNERALES,DIRECTION AFF GÉNERALES,PAIERIE GENERALE,DIRECTION AFF GÉNERALES,,GC,Ministre
Réalisation des réseaux informatiques locaux dans les Délégations Régionales en interconnection avec les Services Centraux(du Projet N° 2-30-02-223-383),40000,383400102276,,DIRECTION AFF GÉNERALES,DIRECTION AFF GÉNERALES,PAIERIE GENERALE,DIRECTION AFF GÉNERALES,,,Ministre
Achat de matériels techniques spécifiques(du Projet N° 2-30-02-223-383),100000,383400102279,,DIRECTION AFF GÉNERALES,DIRECTION AFF GÉNERALES,PAIERIE GENERALE,DIRECTION AFF GÉNERALES,,,Ministre
Achat de matériels roulants(du Projet N° 3-50-01-228-384),300000,383400102280,,DIRECTION AFF GÉNERALES,DIRECTION AFF GÉNERALES,PAIERIE GENERALE,DIRECTION AFF GÉNERALES,,GC,Ministre
Achat de motos(du Projet N° 2-30-02-223-383),20000,383400102281,,DIRECTION AFF GÉNERALES,DIRECTION AFF GÉNERALES,PAIERIE GENERALE,DIRECTION AFF GÉNERALES,,,Ministre
Investissement C2D du MINDUH(du Projet N° 2-28-02-181-403),3700000,386700002813,,C2D,C2D,PAIERIE GENERALE,PROJET C2D,,,Ministre
Subvention C2D du MINDUH(du Projet N° 2-28-02-181-403),1700000,386700002819,,C2D,C2D,PAIERIE GENERALE,PROJET C2D,,GC,Ministre
ressource externe pour Programme de gouvernance urbain (PGU)(du Projet N° 3-54-02-222-235),2000000,389800012030,,DIVIS ETUDES & COOPÉRATIO,DIVIS ETUDES & COOPÉRATIO,PAIERIE GENERALE,DIVIS ETUDES & COOPÉRATIO,,,Ministre
ressource externe pour Projet assainissement de Yaoundé (PADY) (BAD)(du Projet N° 2-30-02-203-002),2000000,389800022253,,DIR ENVIR SOC URB,DIR ENVIR SOC URB,PAIERIE GENERALE,DIRECTION ENVIRONNEMENT SOCIAL ET URBAIN,,,Ministre
Ressource externe pour Projet de Développement du Secteur Urbain (PDUE)(du Projet N° 3-42-02-203-042),500000,389800032247,,DIRECTION DU DEVELOPPEMENT URBAIN,DIRECTION DU DEVELOPPEMENT URB,PAIERIE GENERALE,Direction du developpement urbain,,GC,Ministre
Ressource externe pour Projet de construction de 1500 logements sociaux(du Projet N° 2-30-02-222-614),6000000,389800042225,,Direction de l'Habitat et de l'Architect,DTION HAB/ARCH,PAIERIE GENERALE,Dtion Hab/Arch,,,Ministre
Actualisation du manuel de procédures interne et externe du MINPMEESA(du Projet N° 3-55-01-204-201),15000,393200102023,,Secrétariat Général,Secrétariat Général,PAIERIE GENERALE,Secrétariat Général,,,MINISTRE
IMPLEMENTATION DE L'OUTIL DIAGNOSTIC DES PME(du Projet N° 3-55-01-202-222),100000,393300022011,,Direction des Petites et Moyennes Entrep,Direction des Petites et Moyen,PAIERIE GENERALE,Direction des Petites et Moyennes Entreprises et de l'Artisa,,,MINISTRE
Journée des PME (2e édition) : travaux préparatoires(du Projet N° 3-55-01-204-206),20000,393300022020,,Direction des Petites et Moyennes Entrep,Direction des Petites et Moyen,PAIERIE GENERALE,Direction des Petites et Moyennes Entreprises et de l'Artisa,,,Ministre
Projet de valorisation du rotin dans la zone de Memiam(du Projet N° 3-55-01-202-208),25000,393300022046,,Direction des Petites et Moyennes Entrep,Direction des Petites et Moyen,PAIERIE GENERALE,Direction des Petites et Moyennes Entreprises et de l'Artisa,,,Ministre
Appui financier à la pépinière d'entreprises de l'universités de yaounde(polytechnique)(du Projet N° 3-55-01-202-210),150000,393300022813,,Direction des Petites et Moyennes Entrep,Direction des Petites et Moyen,PAIERIE GENERALE,Direction des Petites et Moyennes Entreprises et de l'Artisa,,,Ministre
Renforcement financier aux petites entreprises en zone urbaine et péri urbaine vecteur de lutte contre la pauvreté et prise en compte de l'approche genre(du Projet N° 3-55-01-204-214),58000,393300022842,,Direction des Petites et Moyennes Entrep,Direction des Petites et Moyen,PAIERIE GENERALE,Direction des Petites et Moyennes Entreprises et de l'Artisa,,,MINISTRE
Mise en place d'une strategie de structuration des OES(du Projet N° 3-55-01-202-223),25000,393300032020,,Direction de l'artisanat et migration du,Direction de l'Artisanat et mi,PAIERIE GENERALE,Direction de l'Artisanat et migration du secteur informel,,,MINISTRE
Renforcement en matériel agricol des OES dans les zones rurales(du Projet N° 3-55-01-204-214),100000,393300042275,,Direction de l'Economie sociale,Direction de l'Economie social,PAIERIE GENERALE,Direction de l'Economie sociale,,,MINISTRE
PITOA:Frais de régularisation de l'étude de faisabilité sur le developpement du centre de formation professionnelle rapide(du Projet N° 3-56-01-202-198),37000,393400102020,,DIRECTION AFF GÉNERALES,DIRECTION AFF GÉNERALES,PAIERIE GENERALE,"Division des Etudes, des Projets et de la Prospective",,,Ministre
OPERATIONALISATION DU PLAN MEDIA DES CFCE(du Projet N° 3-56-01-226-725),20000,393400102020,,DIRECTION AFF GÉNERALES,DIRECTION AFF GÉNERALES,PAIERIE GENERALE,DIRECTION AFF GÉNERALES,,GC,MINISTRE
Elaboration du recueil des textes juridiques du MINPMEESA(du Projet N° 3-55-01-202-220),15000,393400102024,,DIRECTION AFF GÉNERALES,DIRECTION AFF GÉNERALES,PAIERIE GENERALE,DIRECTION AFF GÉNERALES,,,MINISTRE
Extension du CFCE DE YAOUNDE(du Projet N° 3-56-01-226-720),50000,393400102220,,DIRECTION AFF GÉNERALES,DIRECTION AFF GÉNERALES,PAIERIE GENERALE,DIRECTION AFF GÉNERALES,,,MINISTRE
Mise en place d'une salle serveur au MINPMEESA(du Projet N° 3-55-01-202-222),44986,393400102220,,DIRECTION AFF GÉNERALES,DIRECTION AFF GÉNERALES,PAIERIE GENERALE,DIRECTION AFF GÉNERALES,,,MINISTRE
Organization SIARC 2012(du Projet N° 3-55-01-204-206),400000,393400102226,,DIRECTION AFF GÉNERALES,DIRECTION AFF GÉNERALES,PAIERIE GENERALE,DIRECTION AFF GÉNERALES,,,MINISTRE
Services centraux : achat de mobilier de bureau(du Projet N° 3-56-01-226-729),35000,393400102261,,DIRECTION AFF GÉNERALES,DIRECTION AFF GÉNERALES,PAIERIE GENERALE,DIRECTION AFF GÉNERALES,,,MINISTRE
Matériel informatique : achat d'ordinateurs(du Projet N° 3-56-01-226-729),75000,393400102276,,DIRECTION AFF GÉNERALES,DIRECTION AFF GÉNERALES,PAIERIE GENERALE,LOUNGAHE GARE,,,Ministre
Finalisation du système SIGIPES(du Projet N° 3-55-01-202-218),4500,393400102276,,DIRECTION AFF GÉNERALES,DIRECTION AFF GÉNERALES,PAIERIE GENERALE,DIRECTION AFF GÉNERALES,,GC,MINISTRE
Matériel roulant : achat de véhicules administratifs(du Projet N° 3-56-01-226-729),250000,393400102280,,DIRECTION AFF GÉNERALES,DIRECTION AFF GÉNERALES,PAIERIE GENERALE,DIRECTION AFF GÉNERALES,,,Ministre
Mise en place d'un système de collecte de l'information statistique sur les PMEESA(phase2) et production des notes d'informations statistiques(du Projet N° 3-56-01-202-109),20000,393400502011,,"Division des Etudes, des Projets et de l","Division des Etudes, des Proje",PAIERIE GENERALE,"Division des Etudes, des Projets et de la Prospective",,,MINISTRE
Mise en place d'une banque des projets au MINPMEESA(du Projet N° 3-55-01-202-219),20000,393400502012,,"Division des Etudes, des Projets et de l","Division des Etudes, des Proje",PAIERIE GENERALE,"Division des Etudes, des Projets et de la Prospective",,GC,MINISTRE
Suivi des activités du comité PPBS et des grands projets(du Projet N° 3-56-01-202-198),25000,393400502020,,"Division des Etudes, des Projets et de l","Division des Etudes, des Proje",PAIERIE GENERALE,"Division des Etudes, des Projets et de la Prospective",,,MINISTRE
Etude sur l'archivage numérique et gestion documentaire(du Projet N° 3-56-01-202-198),20000,393400502020,,"Division des Etudes, des Projets et de l","Division des Etudes, des Proje",PAIERIE GENERALE,"Division des Etudes, des Projets et de la Prospective",,,MINISTRE
Etude pour la prise en compte des unités de production nationale dans l'élaboration des normes et standards(du Projet N° 4-02-08-201-001),20000,393400502020,,"Division des Etudes, des Projets et de l","Division des Etudes, des Proje",PAIERIE GENERALE,"Division des Etudes, des Projets et de la Prospective",,,MINISTRE
Etude d'un mécanisme de facilitation d'actions communautaires en faveur des initiatives locales d'économie sociale(FACILES)(du Projet N° 4-02-08-201-001),20000,393400502020,,"Division des Etudes, des Projets et de l","Division des Etudes, des Proje",PAIERIE GENERALE,"Division des Etudes, des Projets et de la Prospective",,,MINISTRE
Etude  sur les modalités de mise en oeuvre d'une société capital risque(du Projet N° 4-02-08-201-001),30000,393400502020,,"Division des Etudes, des Projets et de l","Division des Etudes, des Proje",PAIERIE GENERALE,"Division des Etudes, des Projets et de la Prospective",,,MINISTRE
Elaboration du schema directeur informatique du MINPMEESA(2012-2016)(du Projet N° 3-55-01-204-213),20000,393400502022,,"Division des Etudes, des Projets et de l","Division des Etudes, des Proje",PAIERIE GENERALE,"Division des Etudes, des Projets et de la Prospective",,,Ministre
Evaluation des besoins en renforcement des capacités pour la mise en oeuvre de la stratégie(du Projet N° 3-56-01-226-725),20000,393400502025,,"Division des Etudes, des Projets et de l","Division des Etudes, des Proje",PAIERIE GENERALE,"Division des Etudes, des Projets et de la Prospective",,,MINISTRE
Projet d' Appui au développement du secteur privé du Cameroun (CDE)(du Projet N° 3-55-01-202-208),200000,393400502813,,"Division des Etudes, des Projets et de l","Division des Etudes, des Proje",PAIERIE GENERALE,"Division des Etudes, des Projets et de la Prospective",,,MINISTRE
PACD-PME(du Projet N° 3-55-01-202-208),500000,393400502813,,"Division des Etudes, des Projets et de l","Division des Etudes, des Proje",PAIERIE GENERALE,"Division des Etudes, des Projets et de la Prospective",,,MINISTRE
APPUI AUX PETITES ENTREPRISES EN MILIEU URBAIN ET EN ZONES RURALES(du Projet N° 3-42-02-652-265),50000,393400502831,,"Division des Etudes, des Projets et de l","Division des Etudes, des Proje",PAIERIE GENERALE,"Division des Etudes, des Projets et de la Prospective",,,MINISTRE
"ressource externe pour Dynamique du sous secteur des micro et petite entreprises, véritable vecteur de lutte contre la pauvreté (entreprise Cameroun)(du Projet N° 2-23-02-222-411)",28000,399800022813,,Direction des Petites et Moyennes Entrep,Direction des Petites et Moyen,PAIERIE GENERALE,Direction des Petites et Moyennes Entreprises et de l'Artisa,,GC,Ministre
ressource externe pour One village one product(du Projet N° 2-24-01-222-654),2000,399800022813,,Direction des Petites et Moyennes Entrep,Direction des Petites et Moyen,PAIERIE GENERALE,Direction des Petites et Moyennes Entreprises et de l'Artisa,,,Ministre
CELLCOM : Developpement d'un logiciel de gestion des publications de la santé dans la presse.(du Projet N° 2-30-02-222-814),4900,402800012022,,Cellule de Communication,Cellule de Communication,PAIERIE GENERALE,Cellule de Communication,,,Ministre
CELCOM : acqusition du matériel audio-visuel(du Projet N° 3-41-01-227-089),20000,402800012279,,Cellule de Communication,Cellule de Communication,PAIERIE GENERALE,Cellule de Communication,,,MINISTRE
SG: Acquisition d'un véhicule de service pour le SG(du Projet N° 2-30-02-222-402),40000,403200102280,,Secrétariat Général,Secrétariat Général,PAIERIE GENERALE,Secrétariat Général,,,Ministre
DLM :Formation des agents communautaires de surveillance du choléra(du Projet N° 2-30-02-222-814),20000,403300022028,,DIRECTION LUTTE CON MALAD,DIRECTION LUTTE CON MALAD,PAIERIE GENERALE,DIRECTION LUTTE CONTRE MALAD,,,Ministre
Vulgarisation des protocole de prise en charge clinique du choléra(du Projet N° 2-30-02-222-814),25000,403300022070,,DIRECTION LUTTE CON MALAD,DIRECTION LUTTE CON MALAD,PAIERIE GENERALE,DIRECTION LUTTE CONTRE MALAD,,,Ministre
DLM : Aménagement des CTC dans les hôpitaux de District pour le choléra(du Projet N° 3-41-01-203-088),100000,403300022221,,DIRECTION LUTTE CON MALAD,DIRECTION LUTTE CON MALAD,PAIERIE GENERALE,DIRECTION LUTTE CONTRE MALAD,,,Ministre
Promotion de l'utilisation du partogramme et la pratique de la GATPA(du Projet N° 2-30-02-222-814),19540,403300052070,,DIRECTION SANTÉ FAMILIALE,DIR SANTE FAMILLIALE,PAIERIE GENERALE,DIR SANTE FAMILLIALE,,,Ministre
"DPS : Confection de manuels de procédures, normes et standard sur les croissances(du Projet N° 2-30-02-222-814)",25000,403300062023,,Direction de la Promotion de la Santé,Direction de la Promotion de l,PAIERIE GENERALE,Direction de la Promotion de l,,,Ministre
DPS : Confection des guides de bonnes pratique en matière des eaux et aliments(du Projet N° 2-30-02-222-814),25000,403300062023,,Direction de la Promotion de la Santé,Direction de la Promotion de l,PAIERIE GENERALE,Direction de la Promotion de l,,,Ministre
DPS : Equipement des laboratoires de contrôle de la qualité des eaux et aliments et acquisition de kits portatifs d'analyse des eaux(du Projet N° 3-41-01-227-089),100000,403300062279,,Direction de la Promotion de la Santé,Direction de la Promotion de l,PAIERIE GENERALE,Direction de la Promotion de l,,GC,MINISTRE
DRFP: Developement d'un logiciel de gestion du parc automobile .(du Projet N° 2-30-02-222-814),4900,403400202022,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
Projet MCNT : Developpement d'un logiciel de gestion des MCNT au Niveau Central.(du Projet N° 2-30-02-222-814),4900,403400202022,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
DRFP-SDPAT: Elaboration de la base de données du patrimoine foncier(du Projet N° 2-30-02-222-814),45000,403400202022,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
CI: Acqusition du logiciel de gestion intégrée pour les 10 hôpitaux régionaux(du Projet N° 2-30-02-222-814),80000,403400202022,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
CARMMA :  MCH - Production du Manuel de Santé Maternelle et Infantile pour le Scaling-up use of the Maternal and Child Health (MCH) Hand book in Cameroon(du Projet N° 2-30-02-222-814),25000,403400202023,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
Projet MCNT : Elaboration des outils de collecte de données  des MCNT(du Projet N° 2-30-02-222-814),10000,403400202023,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
Projet MCNT : Elaboration des supports intégrés de  promotion de la santé pour le contrôle des MCNT(du Projet N° 2-30-02-222-814),5000,403400202023,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
"Projet MCNT : Enquête épidémiologique (morbidité, mortalité) des différentes MCNT et leurs déterminants(du Projet N° 2-30-02-222-814)",10000,403400202025,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,GC,Ministre
Projet MCNT : Formation des médecins à la prise en charge clinique intégrée des MCNT(du Projet N° 2-30-02-222-814),15000,403400202028,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
Projet MCNT: Formation du personnel et suivi de la MEO du  Projet de PEC  gratuite de l'épilepsie dans le Mbam et la Lékié(du Projet N° 2-30-02-222-814),15000,403400202028,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
CARMMA : Former les prestataires en P-CIME Clinique(du Projet N° 2-30-02-222-814),50000,403400202028,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
Projet MCNT : Formation des Pharmaciens et commis de pharmacies à la prise en charge clinique intégrée des MCNT(du Projet N° 2-30-02-222-814),10000,403400202028,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
Projet MCNT : Formation  des Chefs de service de santé de districts à la  prise en charge clinique intégrée des MCNT(du Projet N° 2-30-02-222-814),15000,403400202028,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
Projet MCNT : Formation  des laborantins au diagnostic  des MCNT(du Projet N° 2-30-02-222-814),10000,403400202028,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
CARMMA :  Produire et distribuer les supports de communication y compris un document de référence sur la CARMA(du Projet N° 2-30-02-222-814),60000,403400202070,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
CARMMA : Formation des formateurs pour les sites regionaux de formation en sécurité transfusionnelle(du Projet N° 2-30-02-222-814),50000,403400202070,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
Etude sur la gratuité des ARV(du Projet N° 2-30-02-222-814),50000,403400202070,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,GC,Ministre
CARMMA : Organisation des campagnes de promotion des méthodes modernes en appui aux formations(du Projet N° 2-30-02-222-814),40000,403400202070,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
Projet MCNT : Ateliers de réflexion sur la composition des kits d'auto prise en charge  pour les personnes vivant avec les MCNT(du Projet N° 2-30-02-222-814),5000,403400202070,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
Projet MCNT : Etude sur les facteurs de risque modifiables sur les MCNT(du Projet N° 2-30-02-222-814),10000,403400202070,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
PNL SIDA :Assitance/Conseil en communication(du Projet N° 2-30-02-222-814),25000,403400202070,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
DRFP-SDPAT: Indemnisation des populations(du Projet N° 2-30-02-222-814),140269,403400202110,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
LANACOME : Travaux de construction.(du Projet N° 3-41-01-203-088),143000,403400202220,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
MSP : Interventions spéciales du ministre pour travaux de construction.(du Projet N° 3-41-01-203-088),200326,403400202220,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
DRFP :ETS PISHON ENTREPRISE : Travaux de construction d'un bâtiment à la DRSP-SUD; Marché N° Marché N°063/M/L/CPM/2010.(du Projet N° 3-41-01-203-088),18000,403400202220,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
DRFP (ETS LES PRESTATIONS) : Travaux de construction et extension de l'immeuble CTPS (marché N°0216/M/MINSANTE/CPM-EIF/2007)(du Projet N° 3-41-01-203-088),98000,403400202220,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,GC,Ministre
DRFP : Paiement de la commande n°032/L11/CPM/2010 du 02 août 2010 passé après avis d'appel d'offres national ouvert; N° 02/aaono/l11/cmp/2010 du 08 mars 2010 pour l'exécution des travaux de construction d'un bloc d'hospitalisation au ,18600,403400202221,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,MINISTRE
"DEP : Paiement de l'avenant sur travaux supplémentaires au marché n°0055/MSP/CPM/EIF/2005, relatif à la construction des CSI de Kelle-Ndong, Biyouha, Sombo (Ets Mballa et fils)(du Projet N° 2-30-01-222-221)",18000,403400202221,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,MINISTRE
DRFP :ETS SOCIA  : Travaux de Réhabilitation du Pavillon Haut Standing à l’Hôpital Central de Yaoundé; Marché N° 0178/MINSANTE /CPM-EIF/2008.(du Projet N° 3-41-01-203-088),58654,403400202221,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
DRFP :ETS GECOCAM LTD : Travaux de construction CSI de NDONGO; Marché N° 0126/MSP/CPM-EIF/2005 & 0133/MSP/CPM-EIF/2005.(du Projet N° 2-30-01-222-221),8090,403400202221,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
DRFP :ETS PROMO INVEST : Travaux de construction CSI de LEKIE-ASSI; Marché N° 30/M/CPM/JO3/2005.(du Projet N° 2-30-01-222-221),1674,403400202221,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
DRFP : ETS SOREF : Travaux de construction du CSI d'Ekalanminkoul; Marché N° _(du Projet N° 2-30-01-222-221),4903,403400202221,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
DRFP : ETS YAN-DECOR Travaux de parachevement du CMA de Batschenga; Marché N° 058/LC/CPM/JO3/2008.(du Projet N° 2-30-01-222-221),13000,403400202221,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
China Geo-engineering Corporation in Cameroon: payement arriérés lC n°292/LC/Jo8/CPM-NK/2009 pour(du Projet N° 3-41-01-203-088),41231,403400202221,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
DRFP :ETS Itie-COMM Sarl : Travaux de construction d’un pavillon à l’Hôpital de District d’Efoulan; Marché N° 0351/M/MINSANTE/CPM-EIF/2007.(du Projet N° 3-41-01-203-088),30802,403400202221,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
DRFP : paiement de la réalisation d'un forage par SODIPRESS SARL d'après la lettre commande n°14/LC/CPM/HNK/2010 au centre de santé de Ngang(du Projet N° 2-30-02-224-454),8500,403400202246,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,MINISTRE
Paiement arriérés pour travaux de la Société SIECO marché n°030/L/K/CPMP/2007 du 10/07/2007 Lot N°7 relatif au forage dans la localité de KILguim(du Projet N° 2-30-02-224-454),8500,403400202246,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,MINISTRE
MSP : Interventions spéciales du ministre pour Equipement des formations sanitaires.(du Projet N° 3-41-01-227-089),200000,403400202272,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,MINISTRE
"DRFP : Payement arrièrés à la Société SYSTEMES MEDICAUX (SSM, marché n°0070/M/MINSANTE/CPM-EMM/11 pour fourniture et installation d'incinérateurs de type pyrolitique à certain hôpitaux centraux et régionaux et de trois kits SONEU à ",94186,403400202272,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,MINISTRE
Infirmerie du Palais : Equipement en matériel médical.(du Projet N° 3-41-01-227-089),100000,403400202272,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,MINISTRE
CARMMA : Dotation des formations sanitaires de kit obstétricaux(du Projet N° 3-41-01-227-089),80000,403400202272,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,MINISTRE
ETS EGLANTINES :Payement des arriérés pour equipement des formations sanitaires en matériel médical.(du Projet N° 3-41-01-227-089),38732,403400202272,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,MINISTRE
DRFP: Achat d'une ambulance médicalisée(du Projet N° 2-30-02-222-402),75000,403400202280,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
DRFP: Acquisition des  ambulances(du Projet N° 2-30-02-222-402),150000,403400202280,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,GC,Ministre
DRFP: Acquistion des véhicules pour certains services centraux SSD et HD(du Projet N° 2-30-02-222-402),250000,403400202280,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
DRFP; Acquisition de motos(du Projet N° 2-30-02-222-402),30000,403400202281,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
Centre Mère et Enfant Chantal Biya de Yaoundé: Transfert en capital(du Projet N° 3-41-01-653-409),250000,403400202813,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,MINISTRE
Fondation  Adlucem: Subvention(du Projet N° 3-41-01-653-409),25000,403400202813,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,MINISTRE
CHRACERH : Subvention(du Projet N° 3-41-01-653-409),150000,403400202813,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,MINISTRE
Ordre des chirurgiens dentistes: Transfert en capital(du Projet N° 3-41-01-653-409),10000,403400202813,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,MINISTRE
Ordre des Techniciens Médico dentaires : Transfert en capital(du Projet N° 3-41-01-653-409),10000,403400202813,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,MINISTRE
Centre  Pasteur  de Yaoundé: Subvention(du Projet N° 3-41-01-653-409),150000,403400202813,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,MINISTRE
FMSB de Douala : Transfert en capital(du Projet N° 3-41-01-653-409),25000,403400202813,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,MINISTRE
ANRP : Subvention accord de partenariat entre le MINSANTE et l'Agence National de Radioprotection (ANRP)(du Projet N° 3-41-01-653-409),50000,403400202813,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,MINISTRE
Croix Rouge Camerounaise (CRC) : Transfert en capital(du Projet N° 3-41-01-653-409),25000,403400202813,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
Centre des Handicapés Paul Emile Leger : Transfert en capital(du Projet N° 3-41-01-653-409),10000,403400202813,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
Ordre des Opticiens : Transfert en capital(du Projet N° 3-41-01-653-409),10000,403400202813,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
Appui au développement et actualisation du MBB des régions(du Projet N° 2-30-02-222-814),50000,403400202813,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,Ministre
Ordre des Pharmaciens : Transfert en Capital(du Projet N° 3-41-01-653-409),10000,403400202813,,Direction des Ressources Financières et,Direction des Ressources Finan,PAIERIE GENERALE,Direction des Ressources Fin,,,MINISTRE
